"Bar kod","Naziv robe","Kat.broj","Atribut 3","J.mj.","T.b.","Prod.cijena","VPC-PDV","Zalihe","Kol.vlast.","Rez.kol.","Kol.raspol.","Kol.kom.pri.","Kol.POS","Kol.slož.","Kol.nar.kup.","Kol.nar.dob.","D","Jamstvo","Atest","%max.rb.","Bar kod","Os.pak.","P","Odnos jm2","Kol. jm2","Prod.c. jm2","Drugi naziv robe","Treći naziv robe","Zapremina","Dimenzije","Atribut 1","Opis Atribut 1","Atribut 2","Opis Atribut 2","Opis Atribut 3","Atribut 4","Opis Atribut 4","Ambalaža","Ul.trošarina","Por.na luks.","Smještaj.R.","Smještaj","Zemlj.podr.","Drž.I.S.","Konto","Zadnji ulaz","Zadnji izlaz","Dat.unosa","Dat.izmj.","Dat.VPC","MPC+PDV","prosj. nc","1","2","3","4","5","6","7","8","PPOM","p.na.pot.","%pdv","Povr.nak.","val.","tečaj val.","c.tar.","min.kol.R.","opt.kol.R.","max.kol.R.","min.kol","opt.kol","max.kol","kalo %","proizvođač","Naziv proizvođača","dobavljač","Naziv dobavljača","gr.p.pot.","nor.amb.","www","težina pak.","j.m.težine","Z/V","Najm.ek.kol.","Traj.isporuke","Traj.proizvod.",""
"44208279677","TENISICA ŽENSKA - LIBERTY ISO - S10410-36","S10410-36 - 390","8","par","6","172.41","86.2","1","1","","1","1","1","","","","","","OBUĆA","41.55","44208279677","1","","1 PAR = 1 PAR","1","","LIBERTY ISO","S10410-36","","","","","BLU","BLU","8","19SP","19SP","","","","lijepljena/prošivena obuća","","Kina","","","2/4/2019","","12/27/2018","10/19/2022","","172.41","50.38","","","","","","","","","","","25","","USD","0.86269825","1","","","","","","","","2279","Wolverine World Wide, Inc. -","2048","Wolverine Europe Limited","","","brisanje/suho četkanje","","kg","","","","",""
"44208279684","TENISICA ŽENSKA - LIBERTY ISO - S10410-36","S10410-36 - 400","8,5","par","6","172.41","86.2","1","1","","1","1","1","","","","","","OBUĆA","41.55","44208279684","1","","1 PAR = 1 PAR","1","","LIBERTY ISO","S10410-36","","","","","BLU","BLU","8,5","19SP","19SP","","","","lijepljena/prošivena obuća","","Kina","","","2/4/2019","","12/27/2018","10/19/2022","","172.41","50.38","","","","","","","","","","","25","","USD","0.86269825","1","","","","","","","","2279","Wolverine World Wide, Inc. -","2048","Wolverine Europe Limited","","","brisanje/suho četkanje","","kg","","","","",""
"44208283537","TENISICA ŽENSKA - CLARION - S10447-2","S10447-2 - 375","6,5","par","6","99.41","49.7","1","1","","1","1","1","","","","","","OBUĆA","37.04","44208283537","1","","1 PAR = 1 PAR","1","","CLARION","S10447-2","","","","","ROS","ROS","6,5","19SP","19SP","","","","lijepljena/prošivena obuća","","Kina","","","3/26/2019","","12/27/2018","8/11/2022","","99.41","31.29","","","","","","","","","","","25","","USD","0.86269825","1","","","","","","","","2279","Wolverine World Wide, Inc. -","2048","Wolverine Europe Limited","","","brisanje/suho četkanje","","kg","","","","",""
"44208286644","TENISICA ŽENSKA - TRIUMPH ISO 5 - S10462-36","S10462-36 - 375","6,5","par","6","172.41","86.2","1","1","","1","1","1","","","","","","OBUĆA","43.52","44208286644","1","","1 PAR = 1 PAR","1","","TRIUMPH ISO 5","S10462-36","","","","","WHT/BL","WHT/BLU/ORG","6,5","19SP","19SP","","","","lijepljena/prošivena obuća","","Kina","","","2/4/2019","","12/27/2018","8/11/2022","","172.41","48.69","","","","","","","","","","","25","","USD","0.86269825","1","","","","","","","","2279","Wolverine World Wide, Inc. -","2048","Wolverine Europe Limited","","","brisanje/suho četkanje","","kg","","","","",""
"44208290498","TENISICA ŽENSKA - JAZZ 21 - S10492-36","S10492-36 - 370","6","par","6","119.32","59.66","1","1","","1","1","1","","","","","","OBUĆA","39.98","44208290498","1","","1 PAR = 1 PAR","1","","JAZZ 21","S10492-36","","","","","Blue","BLUE","6","19SP","19SP","","","","lijepljena/prošivena obuća","","Indonezija","","","3/26/2019","","12/27/2018","10/19/2022","","119.32","35.81","","","","","","","","","","","25","","USD","0.86269825","1","","","","","","","","2279","Wolverine World Wide, Inc. -","2048","Wolverine Europe Limited","","","brisanje/suho četkanje","","kg","","","","",""
"44208290504","TENISICA ŽENSKA - JAZZ 21 - S10492-36","S10492-36 - 375","6,5","par","6","119.32","59.66","1","1","","1","1","1","","","","","","OBUĆA","39.98","44208290504","1","","1 PAR = 1 PAR","1","","JAZZ 21","S10492-36","","","","","Blue","BLUE","6,5","19SP","19SP","","","","lijepljena/prošivena obuća","","Indonezija","","","3/26/2019","","12/27/2018","10/19/2022","","119.32","35.81","","","","","","","","","","","25","","USD","0.86269825","1","","","","","","","","2279","Wolverine World Wide, Inc. -","2048","Wolverine Europe Limited","","","brisanje/suho četkanje","","kg","","","","",""
"44208290511","TENISICA ŽENSKA - JAZZ 21 - S10492-36","S10492-36 - 380","7","par","6","119.32","59.66","1","1","","1","1","1","","","","","","OBUĆA","39.98","44208290511","1","","1 PAR = 1 PAR","1","","JAZZ 21","S10492-36","","","","","Blue","BLUE","7","19SP","19SP","","","","lijepljena/prošivena obuća","","Indonezija","","","3/26/2019","2/15/2023","12/27/2018","10/19/2022","","119.32","35.81","","","","","","","","","","","25","","USD","0.86269825","1","","","","","","","","2279","Wolverine World Wide, Inc. -","2048","Wolverine Europe Limited","","","brisanje/suho četkanje","","kg","","","","",""
"44208290634","TENISICA ŽENSKA - JAZZ 21 - S10492-41","S10492-41 - 370","6","par","6","119.32","59.66","1","1","","1","1","1","","","","","","OBUĆA","38.3","44208290634","1","","1 PAR = 1 PAR","1","","JAZZ 21","S10492-41","","","","","GRY/SH","GRY/SHA","6","19SP","19SP","","","","lijepljena/prošivena obuća","","Indonezija","","","3/26/2019","","12/27/2018","8/11/2022","","119.32","36.81","","","","","","","","","","","25","","USD","0.86269825","1","","","","","","","","2279","Wolverine World Wide, Inc. -","2048","Wolverine Europe Limited","","","brisanje/suho četkanje","","kg","","","","",""
"44208290788","TENISICA MUŠKA - LIBERTY ISO - S20410-36","S20410-36 - 420","8,5","par","6","172.41","86.2","2","2","","2","2","1","","","","","","OBUĆA","40.39","44208290788","1","","1 PAR = 1 PAR","2","","LIBERTY ISO","S20410-36","","","","","BLU/OR","BLU/ORG","8,5","19SP","19SP","","","","lijepljena/prošivena obuća","","Kina","","","2/4/2019","4/20/2023","12/27/2018","8/11/2022","","172.41","51.38","","","","","","","","","","","25","","USD","0.86269825","1","","","","","","","","2279","Wolverine World Wide, Inc. -","2048","Wolverine Europe Limited","","","brisanje/suho četkanje","","kg","","","","",""
"44209716225","TENISICA ŽENSKA - Guide 8 - S10256-1","S10256-1 - 370","6","par","6","132.59","66.3","1","1","","1","1","1","","","","","","OBUĆA","47.09","44209716225","1","","1 PAR = 1 PAR","1","","Guide 8","S10256-1","","","","","White/","White/Black/Black","6","16SP","16SP","","","","lijepljeno","","Kina","","","","","11/13/2015","8/11/2022","","132.59","35.08","","","","","","","","","","","25","","","1.00869334","1","","","","","","","","2279","Wolverine World Wide, Inc. -","2048","Wolverine Europe Limited","","","brisanje/suho četkanje","","kg","","","","",""
