"Bar kod","Naziv robe","Kat.broj","Atribut 3","J.mj.","T.b.","Prod.cijena","VPC-PDV","Zalihe","Kol.vlast.","Rez.kol.","Kol.raspol.","Kol.kom.pri.","Kol.POS","Kol.slož.","Kol.nar.kup.","Kol.nar.dob.","D","Jamstvo","Atest","%max.rb.","Bar kod","Os.pak.","P","Odnos jm2","Kol. jm2","Prod.c. jm2","Drugi naziv robe","Treći naziv robe","Zapremina","Dimenzije","Atribut 1","Opis Atribut 1","Atribut 2","Opis Atribut 2","Opis Atribut 3","Atribut 4","Opis Atribut 4","Ambalaža","Ul.trošarina","Por.na luks.","Smještaj.R.","Smještaj","Zemlj.podr.","Drž.I.S.","Konto","Zadnji ulaz","Zadnji izlaz","Dat.unosa","Dat.izmj.","Dat.VPC","MPC+PDV","prosj. nc","1","2","3","4","5","6","7","8","PPOM","p.na.pot.","%pdv","Povr.nak.","val.","tečaj val.","c.tar.","min.kol.R.","opt.kol.R.","max.kol.R.","min.kol","opt.kol","max.kol","kalo %","proizvođač","Naziv proizvođača","dobavljač","Naziv dobavljača","gr.p.pot.","nor.amb.","www","težina pak.","j.m.težine","Z/V","Najm.ek.kol.","Traj.isporuke","Traj.proizvod.",""
"195017541834","TENISICA ŽENSKA - KINVARA 13 - S10723-16","S10723-16 - 420","10","par","6","132.59","66.3","2","2","","2","#N/A","","","","","","","OBUĆA","48.36","195017541834","1","","1 PAR = 1 PAR","2","","KINVARA 13","S10723-16","","","","","VIZIGL","VIZIGLD/VIZIRED","10","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","5/20/2022","3/3/2022","8/11/2022","","132.59","34.24","","","","","","","","","","","25","","USD","0.86269825","6404119050","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
"195017541841","TENISICA ŽENSKA - KINVARA 13 - S10723-16","S10723-16 - 425","10,5","par","6","132.59","66.3","1","1","","1","#N/A","","","","","","","OBUĆA","48.37","195017541841","1","","1 PAR = 1 PAR","1","","KINVARA 13","S10723-16","","","","","VIZIGL","VIZIGLD/VIZIRED","10,5","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","","3/3/2022","8/11/2022","","132.59","34.23","","","","","","","","","","","25","","USD","0.86269825","6404119050","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
"195017541858","TENISICA ŽENSKA - KINVARA 13 - S10723-16","S10723-16 - 430","11","par","6","132.59","66.3","1","1","","1","#N/A","","","","","","","OBUĆA","48.37","195017541858","1","","1 PAR = 1 PAR","1","","KINVARA 13","S10723-16","","","","","VIZIGL","VIZIGLD/VIZIRED","11","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","","3/3/2022","8/11/2022","","132.59","34.23","","","","","","","","","","","25","","USD","0.86269825","6404119050","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
"195017549946","TENISICA MUŠKA - JAZZ 81 - S70613-13","S70613-13 - 410","8","par","6","106.05","53.02","2","2","","2","#N/A","","","","","","","OBUĆA","43.17","195017549946","1","","1 PAR = 1 PAR","2","","JAZZ 81","S70613-13","","","","","GRAY/B","GRAY/BLACK","8","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","","3/3/2022","8/11/2022","","106.05","30.13","","","","","","","","","","","25","","USD","0.86269825","0","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
"195017549953","TENISICA MUŠKA - JAZZ 81 - S70613-13","S70613-13 - 420","8,5","par","6","106.05","53.02","2","2","","2","#N/A","","","","","","","OBUĆA","43.17","195017549953","1","","1 PAR = 1 PAR","2","","JAZZ 81","S70613-13","","","","","GRAY/B","GRAY/BLACK","8,5","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","","3/3/2022","8/11/2022","","106.05","30.13","","","","","","","","","","","25","","USD","0.86269825","0","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
"195017549960","TENISICA MUŠKA - JAZZ 81 - S70613-13","S70613-13 - 425","9","par","6","106.05","53.02","2","2","","2","#N/A","","","","","","","OBUĆA","43.17","195017549960","1","","1 PAR = 1 PAR","2","","JAZZ 81","S70613-13","","","","","GRAY/B","GRAY/BLACK","9","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","","3/3/2022","8/11/2022","","106.05","30.13","","","","","","","","","","","25","","USD","0.86269825","0","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
"195017549977","TENISICA MUŠKA - JAZZ 81 - S70613-13","S70613-13 - 430","9,5","par","6","106.05","53.02","3","3","","3","#N/A","","","","","","","OBUĆA","43.17","195017549977","1","","1 PAR = 1 PAR","3","","JAZZ 81","S70613-13","","","","","GRAY/B","GRAY/BLACK","9,5","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","","3/3/2022","8/11/2022","","106.05","30.13","","","","","","","","","","","25","","USD","0.86269825","0","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
"195017549984","TENISICA MUŠKA - JAZZ 81 - S70613-13","S70613-13 - 440","10","par","6","106.05","53.02","3","3","","3","#N/A","","","","","","","OBUĆA","43.17","195017549984","1","","1 PAR = 1 PAR","3","","JAZZ 81","S70613-13","","","","","GRAY/B","GRAY/BLACK","10","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","","3/3/2022","8/11/2022","","106.05","30.13","","","","","","","","","","","25","","USD","0.86269825","0","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
"195017549991","TENISICA MUŠKA - JAZZ 81 - S70613-13","S70613-13 - 445","10,5","par","6","106.05","53.02","3","3","","3","#N/A","","","","","","","OBUĆA","43.17","195017549991","1","","1 PAR = 1 PAR","3","","JAZZ 81","S70613-13","","","","","GRAY/B","GRAY/BLACK","10,5","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","","3/3/2022","8/11/2022","","106.05","30.13","","","","","","","","","","","25","","USD","0.86269825","0","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
"195017550003","TENISICA MUŠKA - JAZZ 81 - S70613-13","S70613-13 - 450","11","par","6","106.05","53.02","2","2","","2","#N/A","","","","","","","OBUĆA","43.17","195017550003","1","","1 PAR = 1 PAR","2","","JAZZ 81","S70613-13","","","","","GRAY/B","GRAY/BLACK","11","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","","3/3/2022","8/11/2022","","106.05","30.13","","","","","","","","","","","25","","USD","0.86269825","0","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
